EPIC 201841433 b,11h40m49.63s,+06d08m05.5s,441.94,8.17,4.16959,0.00051,,,0.098,0.012,16,3
EPIC 205950854 c,22h12m26.37s,-16d20m30.3s,245.56,4.19,8.050722,0.000075,,,0.117,0.013,16,3
EPIC 206024342 b,22h05m06.53s,-14d07m18.0s,373.81,4.99,4.50756,0.00062,,,0.152,0.053,16,3
EPIC 206032309 b,22h44m57.77s,-13d54m03.3s,162.09,1.8,2.87814,0.00023,,,0.09,0.021,16,3
EPIC 206042996 b,22h30m03.26s,-13d36m36.4s,457.27,13.79,5.29711,0.00074,,,0.145,0.015,16,3
EPIC 206215704 b,22h20m22.76s,-09d30m34.3s,110.22,1.08,2.25372,0.00047,,,0.08,0.017,16,3
EPIC 206317286 b,22h30m28.22s,-07d58m20.7s,317.2,2.94,1.58252,0.00017,,,0.086,0.01,16,3
EPIC 211822797 b,08h41m38.49s,+17d38m24.0s,187.19,1.37,21.169861,0.001725,,,0.177,0.01,16,3
EPIC 211945201 b,09h06m17.75s,+19d24m08.1s,182.64,1.29,19.49221,0.000666,,,0.514,0.027,16,3
EPIC 212297394 b,13h48m49.49s,-17d36m35.7s,423.35,7.34,2.28943,0.00019,,,0.118,0.007,16,3
EPIC 212424622 b,13h29m19.54s,-14d21m34.1s,622.67,10.4,18.0983,0.006,,,0.194,0.06,16,3
EPIC 212499991 b,13h29m57.30s,-12d44m05.0s,285.61,2.05,34.885,0.011,,,0.143,0.012,16,3
EPIC 212587672 b,13h41m46.73s,-10d51m44.8s,322.88,6.33,15.2841,0.0037,,,0.1,0.011,16,3
EPIC 212737443 b,13h36m53.21s,-07d19m05.3s,339.46,4.73,13.603,0.0013,,,0.231,0.011,16,3
EPIC 212737443 c,13h36m53.21s,-07d19m05.3s,339.46,4.73,65.55,0.0089,,,0.24,0.013,16,3
EPIC 220554210 c,00h53m43.68s,+07d59m43.1s,503.46,7.95,0.70531,0.00005,,,0.132,0.012,16,3
